layer_order,mlp_layers,mlp_solver,logistic_regressions,svc_kernel,xgb_estimators,rf_estimators,early_stopping_iterations,positions,mean_accuracy,max_accuracy,min_accuracy,std_accuracy,max_false_negative,max_false_positive,max_true_negative,max_true_positive,mean_false_negative,mean_false_positive,mean_true_negative,mean_true_positive,min_false_negative,min_false_positive,min_true_negative,min_true_positive,neg_max_f1,neg_max_precision,neg_max_recall,neg_mean_f1,neg_mean_precision,neg_mean_recall,neg_min_f1,neg_min_precision,neg_min_recall,neg_std_f1,neg_std_precision,neg_std_recall,pos_max_f1,pos_max_precision,pos_max_recall,pos_mean_f1,pos_mean_precision,pos_mean_recall,pos_min_f1,pos_min_precision,pos_min_recall,pos_std_f1,pos_std_precision,pos_std_recall,std_false_negative,std_false_positive,std_true_negative,std_true_positive
rf=>rf=>logit3,,,"(0, 0)",[],[],"[37, 1]",2,"[6, 6, 5]",0.692090395480226,0.7344632768361582,0.6497175141242938,0.03964878205541864,44,22,105,28,38.5,16.0,96.75,25.75,30,7,88,23,0.8171206225680935,0.7709923664122137,0.9375,0.7794132145335961,0.7153656035587543,0.8579235103132161,0.7394957983193278,0.6788321167883211,0.8,0.03364590399006253,0.03634032881041222,0.0498180990332145,0.5384615384615384,0.78125,0.4827586206896552,0.48733730985567414,0.6289915150842946,0.4034106655053644,0.4299065420560747,0.5510204081632653,0.34328358208955223,0.0423650837599109,0.09026231979028028,0.05065769404382062,5.172040216394301,5.522680508593631,6.6473679001541655,1.920286436967152
logit2=>logit1=>logit1=>logit2=>logit3,,,"(2, 2)",,,,3,"[3, 1, 1, 3, 5]",0.6878531073446328,0.7062146892655368,0.672316384180791,0.012231997228593772,38,27,95,33,35.25,20.0,91.25,30.5,31,17,88,27,0.7815126050420169,0.7416666666666667,0.8482142857142857,0.7674701967286037,0.7216621359830021,0.8208705455269378,0.7542372881355933,0.6984126984126984,0.7672413793103449,0.011349610067652708,0.01664287995775591,0.031616784390876264,0.5517241379310344,0.6470588235294118,0.4918032786885246,0.5241487911990738,0.6067527441598649,0.46420627782899776,0.49541284403669733,0.5263157894736842,0.4153846153846154,0.02299590413780524,0.04808182596191501,0.029881386950031365,2.947456530637899,4.06201920231798,2.8613807855648994,2.29128784747792
logit2=>logit2=>logit3,,,"(0, 2)",[],,[],3,"[3, 3, 5]",0.6638418079096046,0.6949152542372882,0.6214689265536724,0.026649664214849156,45,27,100,32,39.5,20.0,90.75,26.75,33,13,86,23,0.7874015748031495,0.7226890756302521,0.8771929824561403,0.7525711354112777,0.6971702066653432,0.8204986069542789,0.7219917012448134,0.6666666666666666,0.7631578947368421,0.0235897387855932,0.022482084106533025,0.05502936250061012,0.5203252032520326,0.6904761904761905,0.49230769230769234,0.47185121231743293,0.5809554875072116,0.4035895785895786,0.40707964601769914,0.46,0.36507936507936506,0.043237394346328194,0.08534228230892112,0.05237798360232538,4.272001872658765,6.519202405202649,5.539629951540085,3.897114317029974
rf=>logit3=>rf,,,"(0, 0)",,,"[121, 29]",1,"[6, 5, 6]",0.7048022598870057,0.7231638418079096,0.672316384180791,0.019723502886679296,48,22,102,36,38.0,14.25,96.0,28.75,29,4,92,25,0.8031496062992126,0.7603305785123967,0.9607843137254902,0.7858755840680552,0.7184294276359686,0.8729713240675869,0.7603305785123967,0.6712328767123288,0.8070175438596491,0.015695045444997852,0.031654670038458926,0.062447558723778294,0.5950413223140496,0.8709677419354839,0.5538461538461539,0.5216545354302644,0.6898224343500842,0.43326064560439564,0.4821428571428571,0.5510204081632653,0.36,0.04348866094576433,0.11651901831472056,0.07373563254082434,6.819090848492928,7.224091638399945,4.242640687119285,4.264680527307995
logit3=>xgb=>logit1=>xgb=>logit1,,,"(2, 0)",,"[115, 16]",[],2,"[5, 2, 1, 2, 1]",0.7344632768361582,0.7627118644067796,0.6949152542372882,0.02589025816359229,24,37,104,38,21.25,25.75,97.75,32.25,17,20,85,25,0.825,0.8333333333333334,0.8373983739837398,0.8051071428571428,0.8220636482939632,0.7913303089616867,0.7589285714285715,0.8110236220472441,0.6967213114754098,0.027109871874673678,0.008178229701992291,0.05574031515967064,0.631578947368421,0.631578947368421,0.6909090909090909,0.5758303726348839,0.5595614035087719,0.5997192317916002,0.5102040816326531,0.5,0.5208333333333334,0.043281301082826844,0.05737425529644623,0.06615143074180989,2.680951323690902,6.7592529172978875,7.595228765481656,5.11737237261468
logit3=>logit2=>logit2,,,"(0, 2)",[],,[],1,"[5, 3, 3]",0.6991525423728814,0.7175141242937854,0.6666666666666666,0.019314681258725097,41,23,96,36,32.5,20.75,90.5,33.25,27,18,87,31,0.7933884297520661,0.7804878048780488,0.8285714285714286,0.7724861645189182,0.7364965056519408,0.8139570921780708,0.7467811158798283,0.6796875,0.7964601769911505,0.016666485320936925,0.0374286395584102,0.012984710048834029,0.5806451612903226,0.6545454545454545,0.546875,0.5550959439699764,0.6161802164265219,0.508413111152757,0.512396694214876,0.5740740740740741,0.4305555555555556,0.026585011375347505,0.03032439466008227,0.045821188238292634,5.361902647381804,2.277608394786075,3.3541019662496847,2.277608394786075
xgb=>logit3=>xgb,[],[],"(0, 0)",,"[128, 102]",[],3,"[2, 5, 2]",0.7019774011299436,0.7401129943502824,0.6497175141242938,0.03734266685424372,46,20,102,34,34.5,18.25,93.75,30.5,26,16,87,28,0.8127490039840638,0.792,0.8571428571428571,0.7795085721359462,0.7315449210609672,0.8367049841440978,0.7372881355932204,0.6541353383458647,0.8130841121495327,0.033308275156020646,0.054612349262347794,0.016291958225533632,0.5818181818181819,0.6363636363636364,0.5517241379310345,0.5371177175417914,0.6259000259000259,0.47464385567833844,0.4745762711864407,0.6153846153846154,0.3783783783783784,0.03898637226968118,0.007866021645567153,0.06204195327420411,7.533259586659682,1.7853571071357126,6.832825184358224,2.598076211353316
mlp=>xgb=>logit3=>mlp=>rf=>logit1,"[[145, 52], [78]]","['lbfgs', 'sgd']","(1, 0)",,[2],[22],3,"[0, 2, 5, 0, 6, 1]",0.7019774011299434,0.7175141242937854,0.6892655367231638,0.012867844038339429,44,21,102,29,38.5,14.25,99.25,25.0,30,11,97,22,0.8031496062992126,0.7637795275590551,0.9026548672566371,0.7900441401267977,0.7216660496364175,0.8751474166156558,0.7808764940239042,0.6944444444444444,0.8220338983050848,0.00854180932024226,0.026429820653001593,0.032561362657996695,0.5321100917431192,0.6944444444444444,0.4915254237288136,0.48564348841582294,0.643172514619883,0.396178631573229,0.4444444444444444,0.58,0.3333333333333333,0.03334561453197542,0.04273746416595645,0.05873153410583833,5.220153254455275,4.085033659592048,1.920286436967152,2.5495097567963922
mlp=>logit2=>xgb=>logit1=>logit3=>xgb=>logit2=>logit1=>mlp,"[[55], [68]]","['sgd', 'adam']","(2, 2)",,"[92, 73]",,1,"[0, 3, 2, 1, 5, 2, 3, 1, 0]",0.6666666666666666,0.7062146892655368,0.632768361581921,0.03170896090486391,45,27,95,32,35.25,23.75,88.25,29.75,25,20,82,27,0.7815126050420169,0.788135593220339,0.811965811965812,0.7487339433381008,0.7155234816384181,0.7880125784858796,0.7186147186147185,0.6484375,0.7592592592592593,0.029853964564800904,0.05366615135228543,0.02172054883402715,0.5517241379310345,0.5918367346938775,0.5614035087719298,0.5026862973695946,0.5572724183339706,0.46314269074566555,0.4715447154471545,0.5423728813559322,0.3918918918918919,0.029750021208053125,0.020221759175911257,0.0614347170055848,7.292976072907411,2.8613807855648994,5.80409338312195,1.920286436967152
logit2=>logit1=>logit3,,,"(1, 1)",[],,,1,"[3, 1, 5]",0.6709039548022598,0.6949152542372882,0.632768361581921,0.026005582824183564,45,21,91,36,39.0,19.25,86.5,32.25,36,18,81,30,0.771186440677966,0.7165354330708661,0.8348623853211009,0.7478976166674375,0.6892964598937328,0.8177423918669718,0.7136563876651982,0.6428571428571429,0.801980198019802,0.02217129306437851,0.02839324784916226,0.014206758479443036,0.5714285714285715,0.6666666666666666,0.5,0.5254976072906141,0.6256862745098039,0.4533163952079688,0.4881889763779528,0.5882352941176471,0.40789473684210525,0.033303491782189644,0.030021778587260333,0.034943896847408874,3.6742346141747673,1.299038105676658,3.570714214271425,2.277608394786075
